n:1 mse_avg:9.76 mse_y:10.97 mse_u:7.93 mse_v:6.72 psnr_avg:38.24 psnr_y:37.73 psnr_u:39.14 psnr_v:39.86 
n:2 mse_avg:512.59 mse_y:742.35 mse_u:83.54 mse_v:22.59 psnr_avg:21.03 psnr_y:19.42 psnr_u:28.91 psnr_v:34.59 
n:3 mse_avg:864.46 mse_y:1255.92 mse_u:131.03 mse_v:32.02 psnr_avg:18.76 psnr_y:17.14 psnr_u:26.96 psnr_v:33.08 
n:4 mse_avg:1104.67 mse_y:1608.54 mse_u:156.85 mse_v:37.01 psnr_avg:17.70 psnr_y:16.07 psnr_u:26.18 psnr_v:32.45 
n:5 mse_avg:1138.96 mse_y:1656.23 mse_u:170.93 mse_v:37.90 psnr_avg:17.57 psnr_y:15.94 psnr_u:25.80 psnr_v:32.34 
n:6 mse_avg:1119.81 mse_y:1628.44 mse_u:166.69 mse_v:38.38 psnr_avg:17.64 psnr_y:16.01 psnr_u:25.91 psnr_v:32.29 
n:7 mse_avg:1070.47 mse_y:1557.19 mse_u:157.28 mse_v:36.79 psnr_avg:17.84 psnr_y:16.21 psnr_u:26.16 psnr_v:32.47 
n:8 mse_avg:1122.75 mse_y:1634.91 mse_u:160.15 mse_v:36.68 psnr_avg:17.63 psnr_y:16.00 psnr_u:26.09 psnr_v:32.49 
n:9 mse_avg:1029.92 mse_y:1498.98 mse_u:147.87 mse_v:35.73 psnr_avg:18.00 psnr_y:16.37 psnr_u:26.43 psnr_v:32.60 
n:10 mse_avg:951.23 mse_y:1384.78 mse_u:135.24 mse_v:33.03 psnr_avg:18.35 psnr_y:16.72 psnr_u:26.82 psnr_v:32.94 
n:11 mse_avg:1010.58 mse_y:1470.01 mse_u:150.08 mse_v:33.39 psnr_avg:18.09 psnr_y:16.46 psnr_u:26.37 psnr_v:32.89 
n:12 mse_avg:953.72 mse_y:1385.97 mse_u:145.35 mse_v:33.10 psnr_avg:18.34 psnr_y:16.71 psnr_u:26.51 psnr_v:32.93 
n:13 mse_avg:902.62 mse_y:1310.19 mse_u:140.69 mse_v:34.24 psnr_avg:18.58 psnr_y:16.96 psnr_u:26.65 psnr_v:32.79 
n:14 mse_avg:932.73 mse_y:1355.34 mse_u:140.69 mse_v:34.32 psnr_avg:18.43 psnr_y:16.81 psnr_u:26.65 psnr_v:32.77 
n:15 mse_avg:996.06 mse_y:1447.25 mse_u:151.08 mse_v:36.28 psnr_avg:18.15 psnr_y:16.53 psnr_u:26.34 psnr_v:32.53 
n:16 mse_avg:1026.87 mse_y:1492.30 mse_u:155.14 mse_v:36.90 psnr_avg:18.02 psnr_y:16.39 psnr_u:26.22 psnr_v:32.46 
n:17 mse_avg:1043.15 mse_y:1515.27 mse_u:160.86 mse_v:36.97 psnr_avg:17.95 psnr_y:16.33 psnr_u:26.07 psnr_v:32.45 
n:18 mse_avg:1055.91 mse_y:1534.52 mse_u:160.77 mse_v:36.58 psnr_avg:17.89 psnr_y:16.27 psnr_u:26.07 psnr_v:32.50 
n:19 mse_avg:1117.80 mse_y:1626.11 mse_u:165.73 mse_v:36.61 psnr_avg:17.65 psnr_y:16.02 psnr_u:25.94 psnr_v:32.49 
n:20 mse_avg:1055.39 mse_y:1534.55 mse_u:159.26 mse_v:34.86 psnr_avg:17.90 psnr_y:16.27 psnr_u:26.11 psnr_v:32.71 
n:21 mse_avg:1027.27 mse_y:1492.16 mse_u:159.58 mse_v:35.41 psnr_avg:18.01 psnr_y:16.39 psnr_u:26.10 psnr_v:32.64 
n:22 mse_avg:936.12 mse_y:1359.78 mse_u:144.76 mse_v:32.86 psnr_avg:18.42 psnr_y:16.80 psnr_u:26.52 psnr_v:32.96 
n:23 mse_avg:882.67 mse_y:1281.52 mse_u:137.15 mse_v:32.76 psnr_avg:18.67 psnr_y:17.05 psnr_u:26.76 psnr_v:32.98 
n:24 mse_avg:953.38 mse_y:1386.20 mse_u:142.14 mse_v:33.33 psnr_avg:18.34 psnr_y:16.71 psnr_u:26.60 psnr_v:32.90 
n:25 mse_avg:1077.07 mse_y:1564.99 mse_u:163.85 mse_v:38.57 psnr_avg:17.81 psnr_y:16.19 psnr_u:25.99 psnr_v:32.27 
